																																																																																																																				
																																																																																																																				
		Pp	D	S	Pp	D	S	Pp	D	S	Pw	R	D	S	Pw	R	Dk	Sk	Ob	D/S						Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									S	Pw	Dk	Sk	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob																	
623	664	0.630872483	1.140939597	0.805369128	0.630872483	1.140939597	0.805369128	0.630872483	1.140939597	0.805369128	0.77942435	1.235470513	0.738255034	0.67114094	0.398630692	0.832653829	0.738255034	0.67114094	0.181935493	1.1																																																												0	0																																			
1229.5	426.5	0.36689038	0.939597315	0.268456376	0.36689038	0.939597315	0.268456376	0.36689038	0.939597315	0.268456376	0.236746093	0.645277459	1.073825503	0.469798658	0.457028963	0.928599756	1.073825503	0.469798658	0.158916698	2.285714286																																																												0	0																																			
1263.5	445	0.881431767	1.275167785	0.604026846	0.881431767	1.275167785	0.604026846	0.881431767	1.275167785	0.604026846	0.691793162	0.784851634	1.610738255	0.872483221	1.241678303	1.119012503	1.610738255	0.872483221	0.788729915	1.846153846																																																												0	0																																			
1193.5	119	0.845637584	1.275167785	0.939597315	0.845637584	1.275167785	0.939597315	0.845637584	1.275167785	0.939597315	1.008332958	1.192393736	0.67114094	0.402684564	0.235394802	1.169127517	0.67114094	0.402684564	0.068344464	1.666666667																																																												0	0																																			
458.5	522	0.478747204	0.738255034	0.67114094	0.478747204	0.738255034	0.67114094	0.478747204	0.738255034	0.67114094	0.398630692	0.832653829	5.704697987	0.67114094	3.731813882	1.083195328	5.704697987	0.67114094	1.938008516	8.5																																																												0	0																																			
9.5	595	0.492170022	1.073825503	0.469798658	0.492170022	1.073825503	0.469798658	0.492170022	1.073825503	0.469798658	0.457028963	0.928599756	0.33557047	0.33557047	0.088396919	0.858987453	0.33557047	0.33557047	0.019775597	1																																																												0	0																																			
173	534	1.109619687	1.610738255	0.872483221	1.109619687	1.610738255	0.872483221	1.109619687	1.610738255	0.872483221	1.241678303	1.119012503	1.208053691	0.805369128	0.83347597	1.00151548	1.208053691	0.805369128	0.478411245	1.5																																																												0	0																																			
797.5	235.5	0.201342282	0.67114094	0.402684564	0.201342282	0.67114094	0.402684564	0.201342282	0.67114094	0.402684564	0.235394802	1.169127517	1.073825503	0.738255034	0.675577677	1.102128546	1.073825503	0.738255034	0.354141393	1.454545455																																																												0	0																																			
832	889	0.984340045	1.744966443	0.805369128	0.984340045	1.744966443	0.805369128	0.984340045	1.744966443	0.805369128	1.265888924	1.286028066	4.362416107	0.738255034	3.103396243	1.116922803	4.362416107	0.738255034	1.761135576	5.909090909																																																												0	0																																			
897.5	666.5	0.621923937	1.140939597	0.805369128	0.621923937	1.140939597	0.805369128	0.621923937	1.140939597	0.805369128	0.77942435	1.253247067	0.604026846	0.469798658	0.236318184	1.100356544	0.604026846	0.469798658	0.077520341	1.285714286																																																												0	0																																			
1026.5	837.5	0.129753915	0.536912752	0.33557047	0.129753915	0.536912752	0.33557047	0.129753915	0.536912752	0.33557047	0.155961443	1.201978709	0.805369128	0.536912752	0.370433764	0.930246588	0.805369128	0.536912752	0.14175148	1.5																																																												0	0																																			
119.5	187.5	3.445190157	5.704697987	0.67114094	3.445190157	5.704697987	0.67114094	3.445190157	5.704697987	0.67114094	3.731813882	1.083195328	0.402684564	0.33557047	0.110918427	0.953471864	0.402684564	0.33557047	0.025708276	1.2																																																												0	0																																			
1037.5	109	0.102908277	0.33557047	0.33557047	0.102908277	0.33557047	0.33557047	0.102908277	0.33557047	0.33557047	0.088396919	0.858987453	1.275167785	0.134228188	0.167289762	0.584207215	1.275167785	0.134228188	0.017402525	9.5																																																												0	0																																			
188.5	106.5	3.776286353	6.44295302	0.738255034	3.776286353	6.44295302	0.738255034	3.776286353	6.44295302	0.738255034	4.639363092	1.228551719	0.33557047	0.402684564	0.100265754	1.067114094	0.33557047	0.402684564	0.025629174	0.833333333																																																												0	0																																			
586.5	265	0.832214765	1.208053691	0.805369128	0.832214765	1.208053691	0.805369128	0.832214765	1.208053691	0.805369128	0.83347597	1.00151548								1.5																																																												0	0																																			
856	753.5	0.116331096	0.469798658	0.402684564	0.116331096	0.469798658	0.402684564	0.116331096	0.469798658	0.402684564	0.154317373	1.32653588																																																																				0	0																																			
1195	292.5	0.612975391	1.073825503	0.738255034	0.612975391	1.073825503	0.738255034	0.612975391	1.073825503	0.738255034	0.675577677	1.102128546																																																																				0	0																																			
324.5	616.5	0.344519016	0.805369128	0.67114094	0.344519016	0.805369128	0.67114094	0.344519016	0.805369128	0.67114094	0.443673708	1.287806154																																																																				0	0																																			
464	36.5	0.129753915	0.469798658	0.469798658	0.129753915	0.469798658	0.469798658	0.129753915	0.469798658	0.469798658	0.173257961	1.335281185																																																																				0	0																																			
88	954	0.089485459	0.469798658	0.402684564	0.089485459	0.469798658	0.402684564	0.089485459	0.469798658	0.402684564	0.154317373	1.724496644																																																																				0	0																																			
6	753	0.161073826	1.006711409	0.268456376	0.161073826	1.006711409	0.268456376	0.161073826	1.006711409	0.268456376	0.254763299	1.581655481																																																																				0	0																																			
1078	388.5	0.617449664	1.006711409	0.939597315	0.617449664	1.006711409	0.939597315	0.617449664	1.006711409	0.939597315	0.756092068	1.224540414																																																																				0	0																																			
979.5	336.5	1.682326622	2.483221477	0.939597315	1.682326622	2.483221477	0.939597315	1.682326622	2.483221477	0.939597315	2.143416963	1.274078966																																																																				0	0																																			
49	277.5	2.77852349	4.362416107	0.738255034	2.77852349	4.362416107	0.738255034	2.77852349	4.362416107	0.738255034	3.103396243	1.116922803																																																																				0	0																																			
1090.5	558	0.214765101	0.604026846	0.469798658	0.214765101	0.604026846	0.469798658	0.214765101	0.604026846	0.469798658	0.236318184	1.100356544																																																																				0	0																																			
1100	570	0.447427293	1.006711409	0.67114094	0.447427293	1.006711409	0.67114094	0.447427293	1.006711409	0.67114094	0.578802757	1.293624161											0.33557047																																																									0	0																																			
313.5	610	0.398210291	0.805369128	0.536912752	0.398210291	0.805369128	0.536912752	0.398210291	0.805369128	0.536912752	0.370433764	0.930246588																																																																				0	0																																			
438	818.5	0.116331096	0.402684564	0.33557047	0.116331096	0.402684564	0.33557047	0.116331096	0.402684564	0.33557047	0.110918427	0.953471864																																																																				0	0																																			
315.5	5.5	0.286353468	1.275167785	0.134228188	0.286353468	1.275167785	0.134228188	0.286353468	1.275167785	0.134228188	0.167289762	0.584207215																																																																				0	0																																			
1255.5	798	0.093959732	0.33557047	0.402684564	0.093959732	0.33557047	0.402684564	0.093959732	0.33557047	0.402684564	0.100265754	1.067114094																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
		0	0	0							0	#DZIEL/0!																																																																				0	0																																			
