nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
153,818.5,953.5,81.9,95.4,0.23,0.73949156,0.42365165,88.19,2.36568542,3.72179669,0.7,0.3,0.7,0.54115164,135.6,97.9,145.5,183.7,135.6,2,6.0,4.0
154,741.0,369.0,74.1,36.9,0.85,1.37561922,1.0,112.56,5.08700572,7.50994662,1.3,0.9,1.4,1.04031419,151.1,110.5,164.6,188.0,151.1,3,8.2,10.2
155,606.0,663.5,60.6,66.4,2.03,2.32347069,1.3,136.25,7.46274166,11.61167143,2.1,1.4,2.3,1.60769284,165.2,124.6,179.5,198.1,165.2,6,16.2,15.6
156,588.5,14.5,58.9,1.5,1.35,1.86966648,1.03188953,29.15,5.92132031,9.30650172,1.9,1.1,1.9,1.31105812,160.5,119.7,172.9,203.9,160.5,2,13.8,10.2
157,1063.5,769.0,106.4,76.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11283792,113.0,85.0,121.0,147.0,113.2,1,0.2,5.1
158,511.0,623.0,51.1,62.3,0.03,0.0,0.0,0.0,0.56568542,0.56568542,0.1,0.1,0.0,0.195441,115.0,90.7,123.0,138.0,115.0,1,0.6,4.8
159,217.0,385.0,21.7,38.5,0.07,0.5,0.2,74.94,1.04852812,2.30131125,0.4,0.2,0.5,0.29854107,119.9,91.9,129.7,142.7,119.9,1,1.4,4.8
160,1267.0,419.0,126.7,41.9,0.74,1.48070059,0.6,15.08,3.81421354,6.83292704,1.4,0.6,1.5,0.97066846,142.2,103.5,152.8,189.6,142.3,1,8.9,8.2
161,727.5,70.5,72.8,7.1,1.29,1.8,0.9,40.15,5.31126976,8.71960339,1.7,1.0,1.8,1.28159237,163.4,123.3,177.2,197.7,163.4,1,10.4,12.2
162,597.5,731.0,59.8,73.1,0.22,1.0797781,0.3,87.39,2.42426406,4.68835984,1.0,0.2,1.1,0.52925674,142.2,105.1,153.3,182.2,142.2,5,7.7,6.0
163,589.5,614.5,59.0,61.5,0.11,0.41462202,0.31554964,90.0,1.13137083,2.30447184,0.3,0.3,0.4,0.37424103,114.9,85.5,124.3,144.4,115.0,1,1.3,6.8
164,446.0,666.5,44.6,66.7,0.03,0.0,0.0,0.0,0.56568542,0.56568542,0.1,0.1,0.0,0.195441,116.3,90.3,124.3,143.3,116.3,1,0.5,5.5
165,965.0,748.0,96.5,74.8,2.4,3.0,1.2,177.48,11.14974737,13.80786747,3.1,1.1,3.0,1.74807749,147.4,105.4,160.1,192.1,147.4,3,13.4,18.0
166,991.5,27.0,99.2,2.7,0.8,1.16043615,0.88195095,9.91,3.64852812,6.44620646,1.1,0.7,1.2,1.00925301,146.3,108.4,157.4,188.8,146.3,2,8.5,11.6
